,qw1,qw2,qw3,qw4,qw5,qw6,qw7,qw8,qw9,qw10,qw11,qw12,qd1,qd2,qd3,qd4,qd5,qd6,qd7,qd8,qd9,qd10,qd11,qd12,c_scores,stage 1,stage 2,stage 3,stage 4,stage 5,stage 6
10,2,-1,-3,1,-2,-1,3,3,2,3,3,1,0,2,-2,-1,1,1,-1,-2,-1,-1,-2,-1,7,0,-0.75,0,0.5,0.5,0.75
11,-2,-3,-2,2,-1,1,3,3,2,3,3,1,0,3,1,-2,1,-1,-2,-1,-2,-2,-1,-2,14.65076661,-0.5,-0.5,-0.5,-0.25,1.5,0.75
12,-1,-2,-3,2,-2,2,3,3,-2,3,3,-2,3,4,-2,-2,3,1,-2,-1,2,-2,-2,-3,50.04508566,-1.75,-2,-0.25,0.25,2,2.5
13,-2,-3,-2,2,-2,-1,3,3,-2,-3,-2,-1,3,4,2,3,4,3,2,-3,-2,-3,-2,-3,10.88504578,-1,-0.75,0.25,0.25,-0.75,1.5
14,-2,-1,-2,3,-2,-1,3,4,-1,-3,-3,-2,2,2,2,2,1,2,2,2,2,2,2,2,25,0,0.25,-0.25,1.25,0,2.75
15,2,-2,-1,3,-1,-2,3,4,-1,-3,-3,-2,2,2,1,2,2,2,-2,-2,-2,-2,-2,-2,20.23121387,-0.25,-0.5,-1,0.25,-1.25,1.75
16,2,-1,-2,3,-1,-2,3,4,-2,3,3,-2,2,3,2,1,2,2,3,2,3,-2,-2,-2,34.11420205,0,-1,1.5,0.5,1.5,3
17,2,3,-2,3,-3,1,-3,-3,-1,-3,-3,-2,3,3,2,3,2,2,1,2,3,-1,-3,-1,11.22357845,0.25,-1,-0.5,0.25,0.75,1.5
18,-3,-3,-2,-1,-2,-1,3,4,3,3,3,1,3,4,3,2,3,-1,-2,-3,-3,-1,-3,1,4.288702929,0,0,-0.5,1,0.75,0.75
19,1,-1,-2,3,-2,2,3,3,-1,-3,-3,-2,2,3,-2,-1,3,1,-2,-3,-2,1,-2,3,35.95391393,-0.5,-1.5,-1.5,2,-0.25,1.5
20,-2,-1,-3,3,-2,2,3,3,0,-3,-3,-1,2,3,-2,-3,3,1,-1,-3,-2,-1,-3,-2,31.34920635,-1.5,-2,-1.5,0.75,-0.25,1.5
21,-2,-1,-2,3,-3,2,3,3,0,-3,-3,-1,3,3,-2,-1,3,1,-2,-3,-3,-1,-2,-3,24.40795706,-1.5,-1.5,-1.5,0.5,-0.25,1.5
22,0,-2,-1,2,-2,2,3,4,0,3,3,1,4,4,2,-1,3,1,-1,-3,-2,-1,-2,-3,19.81747066,0.5,-1.25,0.5,0.25,1.5,2
23,1,-2,-1,3,-2,-1,3,3,-1,-3,-2,-3,4,4,3,2,3,2,1,-2,-3,-1,-3,-1,13.13953488,0,-1,0,0.75,-0.5,1.75
24,2,-2,-1,3,-2,2,4,3,-2,-3,-3,-2,3,4,3,-2,3,2,1,-3,-2,-2,-3,-2,22.14941022,0.25,-2.25,-0.25,0.75,0,1.75
25,2,-2,-1,3,-1,3,4,3,-1,-2,-3,-2,3,4,3,2,4,2,-1,-2,1,-2,-3,-1,21.98415028,0.25,-0.75,-0.75,1.25,0.75,2.5
26,3,-2,-1,2,-2,2,3,4,-2,-3,-2,-1,4,4,3,2,3,2,1,-3,-2,-1,-3,-2,15.74608409,1,-1.25,0,0.5,0,2
27,2,-2,-1,3,-2,3,2,3,-1,-3,-3,-2,4,4,3,2,3,1,2,-2,-1,-2,-3,-2,16.05504587,0.25,-1,-0.25,0.25,0.5,2.25
28,2,-2,-1,2,-2,-3,3,3,-2,-3,-2,-1,3,3,2,2,2,2,2,2,2,2,2,2,20.64516129,1.25,0,0.25,1.25,-0.25,2.5
29,2,-2,-1,2,-2,3,4,3,-2,-3,-3,-1,3,3,2,2,3,2,2,2,2,2,2,1,17.32283465,1.25,0,0,1.5,1.25,2.5
30,-3,-3,-4,-3,-3,-3,3,3,2,3,3,3,2,3,-1,1,1,0,0,-1,-2,-1,-2,-2,2.033492823,-0.5,-0.5,-0.25,-0.25,0.5,0
31,-3,-3,-3,-2,-3,-2,3,3,2,3,3,3,2,3,1,1,2,1,-1,-2,-3,-2,-1,-3,1.211942063,-0.25,-0.25,0,-0.25,0.5,0
32,-3,-2,-2,-2,-2,-1,3,3,1,3,3,2,3,4,4,3,4,-1,-2,-3,-2,-1,-3,-2,3.502940424,0.5,-0.25,-0.5,0.75,0.75,0.5
33,-2,-1,-3,3,-2,3,3,3,-2,-3,-2,-1,4,4,2,3,3,-1,-2,-3,-2,-1,-2,2,31.04013104,-0.5,-0.75,-2,1.75,0.25,2
34,2,-2,-1,3,-1,-2,3,3,-2,3,3,-1,4,4,3,2,3,-1,-2,-3,-2,-1,-3,-2,13.94285714,0.75,-1,-0.25,0.5,0.5,2
35,2,-2,-1,3,2,3,4,4,-2,3,3,-2,3,4,3,3,3,-1,-2,-3,-3,-1,-2,-2,8.361909786,0.5,0.25,-0.25,0.75,1.75,1.75
36,-2,-2,-1,3,-1,3,4,4,-2,-3,-2,2,2,4,2,2,2,2,-2,-1,-2,-2,-1,-2,12.56659354,0,-0.5,-0.75,0.5,0.75,1.75
37,2,-2,-2,3,-2,2,4,4,-2,-3,-2,-1,2,2,2,2,2,2,2,2,2,1,1,2,23.95789474,1,-0.25,0,1.5,0.75,2.75
38,-2,-1,-1,3,2,3,4,3,-1,2,2,1,3,4,3,2,3,-2,-1,-2,-3,-1,-3,-2,12.05583756,0.25,0,-0.5,1,1.75,1.5
39,-1,-2,-1,3,2,3,4,3,-2,2,3,1,3,4,3,2,3,-1,1,-2,-1,-2,-3,-3,11.9040101,0.25,-0.25,0.5,0.5,1.75,2
40,-2,-3,-3,-2,-3,-2,4,4,3,4,4,-1,2,3,-2,-3,1,-1,-2,1,3,-1,-2,3,25.42793352,-1.5,-1.25,-0.5,1.25,1.5,1.75
41,-2,-3,-3,-2,-3,-2,4,4,3,4,4,-1,2,4,-3,0,2,-1,-2,-2,2,-1,-2,3,20.47492125,-1.75,-0.5,-0.5,1.5,1,1.5
42,-2,-2,-1,2,-3,-3,3,3,-1,3,3,2,3,3,2,-1,3,1,1,-3,-2,-1,-2,-3,18.72434481,0.25,-1.75,1,0.25,0,1.5
43,-1,-2,-2,2,-2,-2,3,3,-2,3,3,-2,3,4,3,3,4,3,-2,-3,-2,-1,-3,-1,10.07137193,-0.25,-1,0.5,1,0.5,1.5
44,2,-2,-2,3,-2,-1,3,4,-1,3,3,2,4,4,3,2,2,2,-2,-2,-2,-2,-2,-2,15.26236882,1.25,-0.75,0.25,0.25,1,2.25
45,-1,-2,-1,3,-2,-2,3,4,-2,2,2,-1,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,15.99539701,-0.5,-1,0.25,0.25,0,1.75
46,-1,-2,-1,2,-2,-1,3,4,3,2,3,-2,2,2,1,2,2,2,2,2,2,2,2,2,17.90957134,0,1.25,1.5,1.25,1.25,2.5
47,-1,-1,-2,3,-2,2,3,4,2,3,3,-1,3,4,2,2,3,2,-2,-2,-2,-2,-2,-2,15.28271405,-0.5,0,0.25,0.75,1.75,2
48,2,-2,-1,3,2,3,4,4,2,3,2,1,4,4,3,4,4,3,3,3,3,2,2,2,20.19230769,2,2.5,1.75,2,3.25,3.5
49,2,-2,-1,2,-2,-1,3,3,-2,2,2,-1,3,4,4,4,3,2,1,-3,-2,-1,-3,-2,8.628519528,1,-0.75,1,0.5,0.5,1.5
